user_id,device_id,app_id,resource_id,event_type,location,timestamp
U164,D015,APP001,R048,FAILED_LOGIN,KR,1713936213
U036,D095,APP004,R044,LOGOUT,AU,1714769668
U009,D004,APP003,R014,ACCESS,UK,1715525049
U007,D072,APP007,R046,DOWNLOAD,KR,1714884119
U151,D036,APP026,R001,TOKEN_REFRESH,IN,1714772573
U088,D036,APP005,R014,OPEN_APP,VN,1713389004
U098,D013,APP012,R023,FAILED_LOGIN,BR,1713182244
U187,D059,APP018,R008,DOWNLOAD,VN,1715315426
U076,D081,APP020,R024,ACCESS,IN,1713291735
U012,D085,APP008,R050,FAILED_LOGIN,VN,1713976395
U026,D049,APP009,R030,OPEN_APP,JP,1714552651
U091,D027,APP022,R018,LOGOUT,AU,1713717807
U137,D094,APP008,R011,ADMIN_ACTION,DE,1714132243
U164,D089,APP018,R015,OPEN_APP,RU,1713234620
U059,D005,APP026,R021,DOWNLOAD,SG,1713277615
U055,D073,APP029,R046,OPEN_APP,KR,1715093927
U102,D083,APP015,R010,FAILED_LOGIN,JP,1714034430
U191,D072,APP018,R017,DOWNLOAD,TH,1715447514
U103,D047,APP008,R009,ADMIN_ACTION,VN,1713197620
U029,D020,APP021,R011,DOWNLOAD,AU,1713266454
U099,D049,APP020,R030,FAILED_LOGIN,UK,1713048154
U175,D093,APP004,R044,FAILED_LOGIN,BR,1714426799
U029,D038,APP014,R011,ADMIN_ACTION,US,1714104733
U129,D098,APP006,R033,LOGOUT,RU,1714251768
U164,D065,APP020,R013,TOKEN_REFRESH,CN,1713677585
U139,D100,APP030,R034,LOGIN,AU,1714359609
U126,D003,APP004,R024,FAILED_LOGIN,KR,1713242955
U062,D073,APP003,R006,ADMIN_ACTION,RU,1713290298
U195,D069,APP025,R009,TOKEN_REFRESH,CA,1714993478
U141,D022,APP009,R034,DOWNLOAD,KR,1715261971
U194,D094,APP023,R013,FAILED_LOGIN,DE,1714566239
U113,D067,APP015,R008,ACCESS,KR,1713268544
U087,D003,APP019,R036,ACCESS,AU,1713923658
U002,D010,APP023,R041,LOGIN,KR,1713282697
U009,D043,APP003,R033,ACCESS,SG,1715035975
U055,D070,APP005,R047,ADMIN_ACTION,KR,1714983792
U105,D025,APP004,R007,DOWNLOAD,CN,1714776617
U106,D060,APP028,R047,LOGIN,CA,1713412794
U016,D052,APP024,R022,LOGOUT,KR,1713803587
U049,D069,APP015,R009,DOWNLOAD,JP,1714168303
U119,D032,APP028,R005,ADMIN_ACTION,BR,1715308231
U026,D007,APP021,R035,LOGIN,VN,1713991447
U043,D053,APP016,R031,ACCESS,RU,1714682084
U016,D022,APP013,R001,DOWNLOAD,SG,1714908443
U074,D055,APP023,R047,ADMIN_ACTION,JP,1713796489
U076,D028,APP002,R038,LOGIN,IN,1714315353
U015,D007,APP019,R031,TOKEN_REFRESH,US,1715129987
U021,D024,APP003,R039,LOGOUT,CA,1713986516
U104,D016,APP029,R037,ACCESS,AU,1715493594
U011,D080,APP003,R027,OPEN_APP,TH,1714093730
U053,D086,APP023,R021,ACCESS,SG,1714660046
U034,D086,APP021,R020,ADMIN_ACTION,CN,1713304267
U003,D059,APP020,R037,LOGOUT,VN,1715255002
U055,D065,APP009,R009,OPEN_APP,TH,1713288531
U063,D048,APP010,R011,ADMIN_ACTION,RU,1715278421
U181,D039,APP020,R042,LOGIN,CA,1715326170
U077,D085,APP004,R009,FAILED_LOGIN,VN,1713448941
U191,D071,APP005,R018,FAILED_LOGIN,AU,1713883444
U184,D044,APP007,R044,FAILED_LOGIN,UK,1715049051
U065,D007,APP003,R041,DOWNLOAD,RU,1714160480
U012,D001,APP011,R050,TOKEN_REFRESH,CA,1714098720
U042,D095,APP015,R036,DOWNLOAD,UK,1713040557
U029,D010,APP029,R045,TOKEN_REFRESH,UK,1713151112
U095,D075,APP018,R010,DOWNLOAD,JP,1713175442
U079,D047,APP029,R003,OPEN_APP,KR,1714046603
U171,D014,APP012,R050,DOWNLOAD,AU,1713648243
U061,D021,APP026,R012,DOWNLOAD,US,1713752293
U189,D043,APP026,R027,ACCESS,SG,1713667724
U180,D014,APP013,R003,ADMIN_ACTION,KR,1713837069
U118,D045,APP010,R015,ACCESS,US,1713810045
U103,D043,APP009,R005,FAILED_LOGIN,CN,1715136602
U103,D087,APP027,R035,OPEN_APP,US,1713483778
U067,D023,APP019,R017,LOGIN,VN,1715502201
U112,D045,APP024,R021,DOWNLOAD,AU,1715145063
U030,D050,APP029,R037,ACCESS,SG,1713186170
U182,D056,APP001,R034,ACCESS,CN,1714808992
U018,D086,APP030,R022,OPEN_APP,CA,1713522716
U185,D039,APP017,R020,DOWNLOAD,CN,1714687789
U179,D038,APP018,R009,ACCESS,DE,1714590250
U174,D096,APP029,R012,FAILED_LOGIN,DE,1715298215
U001,D039,APP010,R014,DOWNLOAD,BR,1715432632
U156,D084,APP011,R030,ADMIN_ACTION,FR,1713896328
U131,D061,APP026,R048,TOKEN_REFRESH,CA,1713355658
U073,D066,APP022,R041,OPEN_APP,VN,1713985110
U173,D040,APP008,R013,TOKEN_REFRESH,US,1713193834
U063,D061,APP020,R050,LOGOUT,FR,1714738291
U162,D074,APP007,R046,DOWNLOAD,FR,1714676265
U063,D019,APP021,R045,LOGIN,TH,1713447059
U200,D055,APP008,R012,ADMIN_ACTION,US,1715337929
U064,D016,APP015,R009,ADMIN_ACTION,CA,1715227728
U144,D077,APP011,R049,ADMIN_ACTION,AU,1715117193
U110,D071,APP015,R011,ADMIN_ACTION,FR,1714087128
U193,D032,APP027,R041,FAILED_LOGIN,BR,1715186489
U125,D081,APP008,R018,ADMIN_ACTION,VN,1714198430
U061,D035,APP011,R021,LOGOUT,JP,1713632629
U060,D050,APP023,R010,ACCESS,VN,1714740082
U105,D043,APP018,R030,DOWNLOAD,US,1713867526
U108,D050,APP029,R050,LOGIN,RU,1715414620
U098,D062,APP001,R023,FAILED_LOGIN,BR,1714635722
U108,D069,APP024,R048,ACCESS,FR,1713920321
U070,D056,APP016,R002,DOWNLOAD,CN,1714695827
U186,D022,APP027,R030,TOKEN_REFRESH,AU,1715240276
U007,D051,APP019,R037,LOGIN,VN,1714797732
U035,D060,APP006,R004,FAILED_LOGIN,DE,1714373016
U055,D059,APP011,R022,DOWNLOAD,SG,1714768171
